,author,title,year,places
170,H J Jochims,"De strijd om de zeggenschap in beursgenoteerde naamloze vennootschappen in historisch perspectief, met bijzondere aandacht voor beschermingsconstructies",1989,[]
171,J L M  van Breugel,Vrouwen en fascisme : vergelijking en analyse van het nationaal-socialisme van de NSB met de patriarchale ideologie van het nieuw-feminisme in de jaren dertig,1989,[]
172,Jori Zijlmans,"""Cultuur in scherven"" : eten en drinken in het 15e en 17e eeuwse gasthuis te Delft",1989,"[['Delft', '4.366667', '52.016667']]"
173,M P Koorenhoff,"De kleine nijverheid in Nederland, 1900-1940 : de middenstandsbeweging, de nijverheidsvoorlichting en de praktijk in het smedenbedrijf",1989,"[['Netherlands', '5.55', '52.316667']]"
174,Ineke Verburg,Ontstaansgeschiedenis van de bad- en zweminrichtingen in Rotterdam 1845-1915,1989,"[['Rotterdam', '4.479167', '51.930833']]"
175,Corina Raymakers-Snuverink,"Volksontwikkeling en werklozenzorg : het volkshogeschoolwerk in Bakkeveen, 1930-1940",1989,"[['Bakkeveen', '6.25', '53.083333']]"
176,Christa Hogenkamp,Taylor doet het huishouden : een onderzoek naar de hervormingsbeweging voor rationalisatie van de huishouding en de Nederlandse Vereniging van Huisvrouwen,1989,[]
177,J W Jonkergouw,'Dat leren ze wel op school ... ' : sexuele voorlichting op scholen na de Tweede Wereldoorlog,1989,[]
178,I P M Libregts,Seksualiteit en krijgsmacht,1989,[]
179,Paul van der Weijden,"""Kunst en ontspanning als animeermeisjes"" : de interne en publieke houding van de AR- en NCRV-elite rond de investering van de televisie-reclame, 1953-1965",1989,[]
180,C H M  de Raadt,"Het verzorgingstehuis voor bejaarden : leefbaarheid, zorgverlening en demokratisering in de Nederlandse tehuizen in de periode 1955-1975",1989,[]
181,Eddie Meijer,Van pangreh pradja (heersers van het rijk) naar pamong pradja (dienaars van het rijk) : de rol van de priyayi (inheemse elite) in het staatsvormingsproces van Indonesië 1900-1968,1989,"[['Indonesia', '106.828333', '-6.175']]"
182,Rik Steenaard,"Stoom en stoomwezen, 1824-1850",1989,[]
183,L B Konink,Van aanrecht naar arbeidsrecht?,1989,[]
184,Frank Miedema,De propaganda van de NSB : een studie naar de organisatie achter de door de NSB gevoerde propaganda in de periode 1931-mei 1940,1989,[]
185,B Biesheuvel,Architectuur en volkshuisvesting in Rotterdam gedurende de periode 1918-1940,1989,"[['Rotterdam', '4.479167', '51.930833']]"
186,Anja Wondergem-Auer,"Het STER-geld voor de pers : de zin en onzin van de etherreklamecompensatie, een beleidsevaluatie",1989,[]
187,Gerda van Etten,Vrouwenmishandeling Rotterdam 1912-1929,1989,"[['Rotterdam', '4.479167', '51.930833']]"
188,Michelle Böllermann,Geschiedenisonderwijs en hulpmiddelen : een analyse van schoolboeken en kaarten als hulpmiddelen bij het geschiedenisonderwijs,1989,[]
189,L J Bishop,"Carambei, een Hollandse kolonie in Brazilië : de ontwikkeling van een boerengemeenschap in de deelstaat Paraná vanaf 1911",1989,"[['Paraná (state)', '-51.0', '-24.0'], ['Carambeí', '-50.083333', '-24.933333'], ['Brazil', '-52.95', '-10.65']]"
190,Siebe Thissen,Pastoor tussen vervelende godheden : sociale en mentale aspekten van het rooms-katolieke regime en de eerste generatie migranten tijdens de opkomst van de stedelijk- industriele samenleving: Pastoor Ludovicus Gompertz en Feijenoord (1875-1890),1990,[]
191,Ingrid Bruning,Door de ogen van een jongedame : Elizabeth Richards over de opstand in Wexford van 1798 (Ierland),1990,"[['Republic of Ireland', '-8.116667', '53.133333'], ['Wexford', '-6.4575', '52.3342']]"
192,R J  van Dijk,Winst of verlies? : de nationalisaties van de Indonesische OGEM-bedrijven en de verplaatsing van de produktie naar andere gebieden 1951-1959,1990,[]
193,Thimo de Nijs,Rotterdamse ondernemers in de negentiende eeuw : de sociale positie van een economische elite,1990,[]
194,Mila Davids,"Norm en werkelijkheid : een confrontatie tussen de stedelijke wetgeving met betrekking tot begraven en de begrafenisgebruiken in Gouda, Dordrecht en Rotterdam in de 17e en het begin van de 18e eeuw",1990,"[['Dordrecht', '4.666667', '51.816667'], ['Rotterdam', '4.479167', '51.930833'], ['Gouda, South Holland', '4.716667', '52.016667']]"
195,J W Ros,Het apostolische en spiritualistische armoede-ideaal versus de kerkelijke geloofsinvulling,1990,[]
196,Ingrid Verbakel,Tussen humaniteit en eigenbelang : de strijd van de bevoegden tegen de onbevoegden in de geneeskunst (1865-1920),1990,[]
197,Rosanne Buis,Streven naar volmaaktheid : een maatschappij-geschiedenis van het geloof in de rede : opvoedingsidealen bij het Nut 1789-1837,1990,[]
198,Hans Vermeulen,De Maasbode in de branding van den Tweeden Wereldkrijg : (en wat er aan vooraf ging),1990,[]
199,Guido de Bruin,"Brits oriëntalisme en de Bengaalse pers, 1784-1835 : hegemonie en de tegenhegemonie in een koloniale situatie",1990,"[['Bangladesh', '89.866667', '24.016667'], ['United Kingdom', '-2.433333', '53.55']]"
200,Pieter D Dorsman,Overvloed en tekort : het beleid van de PTT rond de telefoonvoorziening in het Europoortgebied 1957-1970,1990,[]
201,Dominique H M Stephan,"Public relations en voorlichting : een vergelijking tussen bedrijfsleven en overheid, aan de hand van literatuur en case",1990,[]
202,Anna Bosselaar,Getuigenissen uit het techniektijdperk : beeldvorming van techniek door wereldtentoonstellingen en techniekdiscussies 1945-1970,1990,[]
203,P W M Heuberger,"""Hoe kunnen wij na den oorlog het best onze nationale veiligheid garanderen?"" : een onderzoek naar de ideeën over en de formulering van het Nederlands naoorlogs veiligheidsbeleid tijdens de tweede wereldoorlog",1990,[]
204,Marcoen Hopstaken,"""Zijnde van de Roomsch Catholijke religie"": bijwoners in de meerderheid : verhoudingen tussen katholieke en gereformeerde inwoners van Eemnes binnendijks en Eemnes buitendijks 1776-1805",1990,"[['Eemnes', '5.27', '52.25']]"
205,W J Akkersdijk,De Vriesendorpen in Dordrecht : koopmanscultuur in de achttiende eeuw,1990,"[['Dordrecht', '4.666667', '51.816667']]"
206,Hugo Kabos,Drama en doorbraak : de invloed van de ramp van 1953 op de sociale en economische ontwikkeling van Goeree-Overflakkee en Schouwen-Duiveland,1990,"[['Goeree-Overflakkee', '4.166667', '51.75'], ['Schouwen-Duiveland', '3.916667', '51.7']]"
207,M M I  van Dorst,Het hemd van het lijf gevraagd : het herstructureringsbeleid van het Ministerie van Economische Zaken ten aanzien van de KRL- en de wolindustrie in de periode 1965-1975,1990,[]
208,A Dekker-van Driel,Centralisatie versus decentralisatie : een bedrijfshistorische studie naar de vorming van de postdistrikten in 1955,1990,[]
209,L H Maas,"Van leraren, professoren of renteniers : literatuurgeschiedschrijving aan Hollands' Atheen 1798-1901",1990,[]
210,Wendy A Winkelman,Een prent voor een cent! : een kindbeeld in verandering in de Noordnederlandse kinderprent tussen 1750 en 1850,1990,[]
211,Gepke Verduyn-Boelens,Leuke woordjes en Van Dale : onderwijservaringen van Aziatisch-Oegandese vluchtelingenvrouwen : 'een internationale hordenloop',1990,[]
212,M G Baard,De Esso-raffinaderij en het Nederlandse milieubeleid : een historisch onderzoek naar de reacties van Esso op het milieubeleid van de overheid (1960-1980),1990,[]
213,Saskia van der Velden-Wunderink,'De Centrale Vereeniging voor den Opbouw van Drenthe' : achtergrond en praktijk van het burgerlijk beschavingswerk in Drenthe in het interbellum,1990,"[['Drenthe', '6.583333', '52.916667']]"
214,R J Bouman,"De Nederlandse dagbladpers in oorlogstijd : 1914-1918 : een onderzoek naar de stemming, meningen en commentaren in de Nederlandse dagbladpers ten opzichte van Engeland en Duitsland",1990,"[['England', '-1.566667', '52.483333'], ['Germany', '9.916667', '51.516667']]"
215,F A  van Lieburg,"De gereformeerde predikanten in Noord-Nederland (1620-1815) : hoeveel, waar en wanneer (een aanzet tot een onderzoeksrapport)",1990,[]
216,Frank Willemse,"De succesvolle intrede van D'66 in de Nederlandse politiek : achtergronden van oprichting, oorsprong van ideeën en verklaring van de verkiezingswinst in 1967",1990,[]
217,A S Thierauf,Rock : popular music versus popmusic : de eigenschappen van de mythe,1990,[]
218,Pieter Zandee,"Het vliegen dat een hel is geweest, kan een hemel worden : de beeldvorming van de Nederlandse burgerluchtvaart tussen de twee wereldoorlogen",1990,[]
219,Mirjam Oprel,Sterker door strijd : de ondergrondse pers in Rotterdam 1940-1945,1990,"[['Rotterdam', '4.479167', '51.930833']]"
220,Frank Kuijlaars,Sportjournalistiek in de Nederlandse krant : een kwantitatieve en kwalitatieve analyse,1990,[]
221,Martin Kraak,Ouderen en lichaamsbeweging : onderzoek naar het ontstaan en ontwikkeling van bewegingsactiviteiten voor ouderen in de periode 1950-1982,1990,[]
222,Adri van den Berg,Vrouwen in Bamenda : overlevingsstrategieën en toegang tot grond,1990,"[['Bamenda', '10.166667', '5.933333']]"
223,J A Klapwijk,"Distantie versus vereenzelviging : het Nederlands Barthianisme als reaktie op de maatschappelijke en ideologische ontwikkeling van het Neocalvinisme,  1926-1940",1990,[]
224,Cécile de Rijk,"""Voor het liefste wat u hebt, het beste wat er is!"" : een onderzoek naar het beeld van moeders en kinderen in de reclame, 1950-1975",1990,[]
225,J Nijenhuis,Bioscoop als kerk? : de houding van de katholieken in Nederland tegenover de film in de periode 1896-1940,1990,"[['Netherlands', '5.55', '52.316667']]"
226,D  de Koeyer,De gehuwde vrouw in het arbeidsproces: economische noodzaak of emancipatie? : een onderzoek naar het verband tussen de adviezen van de Sociaal-Economische Raad en het beleid van de PTT met betrekking tot gehuwde vrouwen vanaf 1960 tot op heden,1990,[]
227,Arthur Simonse,Het vermeende alleenrecht : de Dominicaanse Republiek en de Amerikaanse interventie van 1965,1990,"[['United States', '-100.0', '40.0'], ['Dominican Republic', '-70.666667', '19.0']]"
228,Timo Slootweg,Lamprecht en de contemporaine cultuurgeschiedenis : een case-study naar vooruitgang in de geschiedwetenschap,1990,[]
229,Machteld M Lambooij,Starters toen en nu : een vergelijking van de waardering van het startersfenomeen in de crisis van de jaren dertig met die van de jaren zeventig/tachtig,1990,[]
230,R A Harper,Paap op vrijersvoeten : een onderzoek naar de wortels van de respectieve bejegeningen van clericale echtbrekers in de Franse en de Duitse boerden,1991,"[['Germany', '9.916667', '51.516667'], ['France', '2.0', '47.0']]"
231,Mirjam van Oosterhout,De S-Bahn in West-Berlijn : een speelbal tussen Oost en West?,1991,[]
232,Ellen Krijnen,"PWD: een squatterwijk tussen staat, stad en platteland : verslag van een onderzoek in Francistown, Botswana",1991,"[['Francistown', '27.5125', '-21.173611'], ['Botswana', '25.916667', '-24.666667']]"
233,Marcus Vermeij,Structuralisme en de Annales-school,1991,[]
234,John van de Meulen,"De strijd voor de stadsvernieuwing in het Oude Westen, 1970-1980",1991,[]
235,Paul Marijnissen,"De Nederlandse Trekkersbond, tussen jeugdzorg en jeugdidealisme",1991,[]
236,Herman Kuiper,Airland Battle en Follow-on Forces Attack : een studie naar militaire doctrines van het Westers bondgenootschap,1991,[]
237,Hans Oranje,Gemeentelijk internationaal beleid : de casus Delft in nationaal perspectief : een historisch onderzoek naar het internationaal beleid van de gemeente Delft (1945-1990),1991,"[['Delft', '4.366667', '52.016667']]"
238,Frans de Klerk,Rotterdam: milieubeleid en -voorlichting in historisch perspectief,1991,"[['Rotterdam', '4.479167', '51.930833']]"
239,Jenneke de Sain,Geloof of verzet : de Begijnenbeweging in de Nederlanden,1991,[]
240,Barbara van Gelder,"Charleston? Charleston! : een onderzoek naar de verspreiding van, de acceptatie van, en het verzet tegen de Charlestonrage in Nederland",1991,"[['Netherlands', '5.55', '52.316667'], ['Charleston, South Carolina', '-79.933333', '32.783333']]"
241,David A Klein,"Armoede en gemeentebeleid : invoering en uitvoering van ABW en WWV in Rotterdam, 1960-1985 / Deel twee.",1991,"[['Rotterdam', '4.479167', '51.930833']]"
242,S M  van Genuchten,"Stadsdenken : de ontwikkeling van het denken over, en de praktijk van de stedebouw in Rotterdam, 1850-1915",1991,"[['Rotterdam', '4.479167', '51.930833']]"
243,"A P Kruik, jr.",Spaghetti-westerns en het geweld in de jaren zestig,1991,[]
244,Carina A D M Pullens,Het Nederlandse beleid voor ontwikkelingssamenwerking van 1945 tot 1983 en de reactie van het bedrijfsleven,1991,[]
245,Peter Soer,Economische politiek : de Nederlandse distributie van aardappelen tijdens de eerste wereldoorlog,1991,[]
246,Paul Scheer,Voor koningin en moederland : de uitzending van Surinaamse militairen naar Nederlands-Indië in 1944,1991,"[['Suriname', '-56.0', '4.3'], ['Dutch East Indies', '118.0', '-2.0']]"
247,Esther van Beelen,Fransen en Duitsers: water en vuur? : de Duitse immigrantenpopulatie in 1891 en 1911 in Lyon,1991,"[['Lyon', '4.8422', '45.7597'], ['Germany', '9.916667', '51.516667']]"
248,Marloes L A Kusters,De Nederlandse incest-hausse in historisch perspectief,1991,[]
249,Ingena Vellekoop,Het Hof van Holland en het Hoogheemraadschap van Delfland : bestuur en rechtspraak 1428-1581,1992,"[['Hoogheemraadschap van Delfland', '4.4', '52.0']]"
250,Arianne Baggerman,Een drukkend gewicht : leven en werk van de zeventiende-eeuwse polygraaf Simon de Vries,1992,[]
251,Davy Walvis,Leescultuur en het 'gemene volk' van Middelburg in de tweede helft van de negentiende eeuw,1992,"[['Middelburg', '3.616667', '51.5']]"
252,Lisan Scheepe,"Vrouwen, migratie en geld : een onderzoek naar de reacties van rurale vrouwen op de grootschalige introductie van geld in een veranderende samenleving, Malawi 1900-1974",1992,"[['Malawi', '33.6', '-13.016667']]"
253,Aniek de Poorter,"Feminisme en de fusie van de Nederlandsche Vereeniging van Staatsburgeressen en de Nederlandsche Unie voor Vrouwenbelangen, 1920-1930",1992,[]
254,Eric Palmen,"Wie zou ook niet vrolyk weezen : een historisch-antropologische studie naar de partijstrijd tussen de patriotten en orangisten in Rotterdam, 1783-1784 : symbolisch vocabulaire, sociale beeldwereld en collectieve identiteit",1992,"[['Rotterdam', '4.479167', '51.930833']]"
255,Anne Bos,"Don Gaspar contra Don Alonso : conflicten in de Indiaanse gemeenschap van Atlacomulco, vallei van Toluca (1700-1713)",1992,"[['Toluca', '-99.656944', '19.2925'], ['Atlacomulco', '-99.874444', '19.7975']]"
256,D G Nijman,Enkele hoofdstukken uit de technische geschiedenis van Hoogovens,1992,[]
257,Sabine van den Oever,Sarah's spiegel : joodse vrouwen tussen ideologie en traditie en de Israëlische kibbutz van 1880-1980,1992,"[['Israel', '35.0', '31.0']]"
258,Zweder Bergman,Een Centraalinstituut te Utrecht : de geschiedenis van de oprichting van het KNMI en haar plaats binnen een netwerk van meteorologische organisaties,1992,"[['Utrecht', '5.119444', '52.093333']]"
259,Bas Bosschaart,El Zafrero : de ontwikkeling van de arbeidsrecrutering in de suikerrietindustrie in de provincie Guayas te Ecuador : een case studie van de suikerrietplantage Valdez in de periode 1906 tot 1932,1992,"[['Valdez, Alaska', '-146.348333', '61.130833'], ['Guayas Province', '-79.9667', '-2.2'], ['Ecuador', '-78.816667', '-1.465278']]"
260,R Janse,"Jacobus, Hobbes en Sidney",1992,"[['Sydney', '151.211111', '-33.859972']]"
261,Leo Stello,De overtuigingskracht van het onbewijsbare : de Weberthese als vertrekpunt voor (maatschappij-)historisch onderzoek,1992,[]
262,J H Kemper,"Huizen of havens : over woningbouw, wonen en woningwet : wonen in Rotterdam 1850-1925",1992,"[['Rotterdam', '4.479167', '51.930833']]"
263,Piet-jan van Duin,Historisch besef: een ervaring van het differente en singuliere : een genealogische kritiek als antwoord op de atrofiëring van het moderne historische besef,1992,[]
264,Annemieke Bot,"Wegenbeheer, belasting of retributie : een historisch onderzoek naar tolheffing in Nederland",1992,"[['Netherlands', '5.55', '52.316667']]"
265,Rick Verhoeven,"Irrigatie in het Raichur district : een onderzoek naar de reactie van de Kannada boeren op de introduktie van irrigatie in het Raichur district, in India in 1956",1992,"[['Raichur district', '77.35', '16.21'], ['India', '78.0', '21.0']]"
266,E A M Visser,"""Het lek van den zwarten handel"" : voorlichting als instrument bij het overheidsbeleid ter bestrijding van de zwarte handel : november 1945 - maart 1946",1992,[]
267,Ellen Bal,Gelijkheid door ongelijkheid? : de invloed van de reserveringspolitiek op de tribale bevolking van India sinds 1950,1992,"[['India', '78.0', '21.0']]"
268,Ferdinand de Jong,"Maskerades in de Casamance : geschiedenis en actualiteit van Koumpo en Kankouran, vanaf 1900 tot heden",1992,[]
269,Annet Ruseler,Wetgeving en ordehandhaving in dorpsgemeenschappen in de 17e en 18e eeuw : het dorp Maassluis,1992,"[['Maassluis', '4.25', '51.93']]"
270,Marjan Korsten,Het Argentinië-beleid van de V.S. en de rol van de beeldvorming : de Amerikaans-Argentijnse betrekkingen tussen 1942 en 1947,1992,"[['United States', '-100.0', '40.0']]"
271,Ron Noce-Santoro,Nederlandse officieren in Duitse krijgsgevangenschap 1940-1943,1992,"[['Germany', '9.916667', '51.516667']]"
272,Bianca Bergsvoort,Van grote mannen naar kleine mensen : een onderzoek naar de didactische vertaling van de hervormingen binnen de geschiedwetenschap : een theoretische schets van de Duitse discussie.,1992,"[['Germany', '9.916667', '51.516667']]"
273,Juul Brouwers,Geschiedenis van het marktonderzoek : gang van zaken bij een enquête,1992,[]
274,Alex Dabrowski,"De taal van het heden, de taal van het verleden : een filosofisch onderzoek naar mentaliteitsgeschiedenis",1992,[]
275,Rebecca Onderstal,Missiestations en Aladura's : Afrikaanse vrouwen en conversie tot het christendom aan het einde van de negentiende en in de twintigste eeuw,1992,[]
276,Peter Spijker,"De Verenigde Staten en Mexico : een onderzoek naar de betrekkingen tussen de Verenigde Staten en Mexico in de periode 1933-1945 aan de hand van vertrouwelijke rapporten en memoranda, afkomstig van het State Department",1992,"[['United States', '-100.0', '40.0'], ['Mexico', '-102.366667', '19.0']]"
277,Jacqueline van der Stam,Opgang en afgang : ervaringen rond Nederlands joodse remigratie,1992,[]
278,J J  den Heijer,De Atjehoorlog: van Kohler tot Heutsz : onderzoek naar de ontwikkeling in het militaire handelen van de verschillende opperbevelhebbers in Atjeh in de periode 1873-1899,1992,"[['Aceh', '95.316667', '5.55']]"
279,Carin Gaemers,"...Eenige van de verstandigste, schranderste en bequaamste jongens : beroepsopleidingen binnen de Fundatie van Renswoude te Delft, 1775-1810",1992,"[['Delft', '4.366667', '52.016667']]"
280,Stasja Franken,De overgang : transformatie van de Zeeuwse landbouw in de tweede helft van de negentiende eeuw,1992,"[['Zeeland', '3.75', '51.566667']]"
281,Petra Smulders,"Arbeidersgezinnen en zuigelingenbescherming : propaganda of sociale controle? : een onderzoek naar mechanismen van sociale controle en de ontwikkeling van de zuigelingenzorg in Nederland, in het bijzonder in de provincie Zeeland, 1897-1940",1992,"[['Netherlands', '5.55', '52.316667'], ['Zeeland', '3.75', '51.566667']]"
282,K B T Verhoeven,"'Het waren de dapperen die meedorsten, maar wel aan je hand' : de positie van de Nederlandse Christelijke Reisvereniging te midden van de ontwikkelingen in het toerisme : 1922-1972",1992,[]
283,Monique Oostdam,"Van breken tot bouwen : het clubhuis 'de Musschen' in Den Haag, 1926-1940",1992,"[['The Hague', '4.316667', '52.083333']]"
284,Rob J W Arnoldus,De eerste overheidsbemoeienis met de werkloosheidsverzekering : het ontstaan van gemeentelijke werkloosheidsfondsen 1884-1909,1992,[]
285,Marjan Beijering,"De Philips Omroep Holland Indië (PHOHI), 1933-1940 : overheidscensuur op een koloniale radiozender",1992,[]
286,Maaike Wermer,"""Worteltje boven..."" : een analyse van het radioprogramma ""Het Zondagmiddagcabaret van Paulus de Ruiter"" 1941-1944",1993,[]
287,Els Posthumus,Standbeeld-tijdsbeeld : denkbeelden over de Mexicaanse identiteit tijdens de Columbusherdenking in 1892 in Mexico,1993,"[['Mexico', '-102.366667', '19.0']]"
288,Tania Heimans,Marcherend naar het moederschap : nationaal-socialistische vorming van meisjes in Nederland 1934-1945,1993,"[['Netherlands', '5.55', '52.316667']]"
289,W M Hokke,"""Van jeugdbeweging en bewogen jeugd"" : sociale verandering door jongeren in Nederland in de twintigste eeuw",1993,"[['Netherlands', '5.55', '52.316667']]"
290,Lilian Peters,Het joodse werkdorp in de Wieringermeer: 1934-1941 : de vakinhoudelijke en ideologische voorbereiding van joodse vluchtelingen in Nederland op emigratie naar Palestina/Israël,1993,"[['Israel', '35.0', '31.0'], ['Netherlands', '5.55', '52.316667'], ['Wieringermeer', '5.03', '52.85']]"
291,J  Peter Hoefnagels,Van milieuzorgen naar milieuzorg : een beschrijving en verklaring van de invloeden op de milieuzorg van de chemische industrie in de Rijnmond vergeleken in de periodes 1968-1972 en 1985-1991 : een bedrijfsmilieugeschiedenis,1993,[]
292,C L Schonewille,Tussen Brit en boer : de Tweede boerenoorlog 1899-1902 : een beschouwing over de oorzaken en de aanleidingen. Een studie over de strategie en tactiek van het Britse leger,1993,"[['United Kingdom', '-2.433333', '53.55']]"
293,Ilse M Schouten,Het analfabetisme in de Krimpenerwaard (1829-1891) : de oorzaken van het bestaan en de daling van het analfabetisme in de negentiende eeuw,1993,[]
294,H J Maarsingh,De illegaliteit in Gouda van 1940 tot 1945 : illegaliteit in Gouda met vooral aandacht voor de sociale achtergronden van de illegale werkers en bestaande ideeën over illegaliteit in Nederland en Twente,1993,"[['Gouda, South Holland', '4.716667', '52.016667'], ['Twente', '6.770278', '52.321667'], ['Netherlands', '5.55', '52.316667']]"
295,Marcel van Kleeff,De multiplex in Nederland : een onderzoek naar de gevolgen voor de Nederlandse bioscoopbranche van de komst van grootschalige bioscoopcomplexen,1993,"[['Netherlands', '5.55', '52.316667']]"
296,Patricia Eggermont,"Van houwen, trouwen (en berouwen) : informalisering rondom verloving, huwelijk en echtscheiding in Nederland, aan de hand van etiquettevoorschriften, 1850-1990",1993,"[['Netherlands', '5.55', '52.316667']]"
297,Ewoud A Plate,"Het snoeien van de vuurroos : de repressie van het anarchisme in Barcelona rond de eeuwwisseling, 1893-1909",1993,"[['Barcelona', '2.183333', '41.383333']]"
298,Paul van Gessel,En toen ging Nijmegen lezen ... : de ontwikkeling van de leescultuur in de negentiende eeuw,1993,"[['Nijmegen', '5.855556', '51.825']]"
299,Fanny Wallebroek,"1787 : ""prinsluy en blixemse patriotten in Oud-Beijerland"" : een orangistisch plattelandsoproer nader bekeken",1993,"[['Oud-Beijerland', '4.42', '51.82']]"
300,Marko Leer,Hendrik de Man: waarheid en dwaling : een diagnose,1993,[]
301,Lucia T Ramdhani,De badplaats Noordwijk 1866-1965: een verkenning,1993,[]
302,Ermelinda Vermeulen,Door confrontatie tot federatie : een onderzoek naar het ontstaan van de Federatie FME,1993,[]
303,W P Verolme,De invloed van de Westduitse tv op de politieke omwentelingen in de DDR van 1989,1993,"[['East Germany', '12.389', '52.052']]"
304,Jan van der Heijden,"""Uit de zelfde mond komt vloek en zegen"" : de ontvangst van het medium televisie onder katholieken (1925-1960)",1993,[]
305,Sabine Muyrers,Het netwerk van de slaaf : een onderzoek naar de contacten van Surinaamse plantageslaven in de achttiende en negentiende eeuw,1993,"[['Suriname', '-56.0', '4.3']]"
306,Robert Dijksterhuis,Hulp als instrument : de IGGI conferentie en haar special topic,1993,[]
307,M H Chr  de Romph,"Het Israëlitische-godsdienstonderwijs in Rotterdam : een geschiedenis, 1857-1940",1993,"[['Rotterdam', '4.479167', '51.930833']]"
308,Jenny Schoemaker,Vrouwen in de Haagse gemeenteraad 1919-1940: moeder of mannetjesputter?,1993,[]
309,Valentin Post,Landbeheersing in Bengalen circa 1760-1810,1993,"[['Bengal', '88.0', '24.0']]"
310,Marc Duijsings,'De les van London' : een onderzoek naar de resultaten van de voorlichtingscampagne van de Stichting Bevordering Bescherming Bevolking,1993,[]
311,Linda Kool,Rechtvaardigheid en onafhankelijkheid : de ontwikkeling van het Surinaamse slavenverzet in de 19e eeuw (met name de jaren 1848-1863) en de reactie van de koloniale overheid daarop,1993,"[['Suriname', '-56.0', '4.3']]"
312,Han Schouten,"Constanten in de Nederlandse en Duitse landbouwpolitiek vanaf 1851, en de veranderingen die de EEG hierop heeft gehad",1993,"[['Germany', '9.916667', '51.516667']]"
313,Tanja Zawiolkowski,Fabrieksmeisjes tussen fascinatie en veroordeling : een geschiedschrijving van de meisjes van de Van Nelle-fabriek in de jaren vijftig tegen de achtergrond van de zogenaamde kwestie van de zedelijkheid,1993,[]
314,Raymond Padmos,'Beter schoolmeester dan ambachtsman' : het leven en de sociale stijging van de Haarlemse schoolmeester Willem van den Hull (1778-1858),1993,[]
315,Ewout F Kieckens,De nazione olandese-alemanna : de Nederlandse handelsgemeenschap te Livorno rond 1650,1993,"[['Livorno', '10.316667', '43.55']]"
316,Stefanie Reesink,Hulp aan slachtoffers van het bombardement op Rotterdam op 14 mei 1940,1993,[]
317,Fransje Weenink,Thuis : een analyse van een demobilisatiefilm uit 1948,1993,[]
318,Martijn Rutte,Bolivia in de uitverkoop? : de revolutionair nationalistische mythe in de Boliviaanse politiek 1935-1978,1993,"[['Bolivia', '-64.666', '-16.712']]"
319,Jolien Harmsen,"You gave us the dreaming : Aboriginal law and catholic law: history and changing religious identity of Eastern-Arrernte people connected with Santa Teresa (formerly the Little Flower Black Mission at Charles Creek and Arltunga) in Central Australia, 1936-1991",1993,[]
320,M  van Gorsel,De nederlandse bezittingen ter kuste van Guinea 1815-1872,1993,"[['Guinea', '-10.766667', '10.966667']]"
321,Marije Vlaskamp,"De tragiek van het gelijk Vietnamverslaggeving in Het Parool : , 1963-1975",1993,[]
322,P  de Vries,PR bedrijven : de ontwikkeling van PR bij Nederlandse bedrijven,1993,[]
323,Cora Laan,Het pasglas : een stille getuige van een bruisend verleden,1993,[]
324,Marco Veul,De kolonien van de Maatschappij van Weldadigheid: dwangkolonie of nieuwe toekomst? : een onderzoek naar de mate van vrijwilligheid met betrekking tot opzending naar de kolonien van de Maatschappij van Weldadigheid tussen 1818-1859,1993,[]
325,Daniëlle Benschop,"""Als de sirene gaat ..."" : voorlichting over rampen, crises, rampenbestrijding en civiele verdediging vanaf 1900 tot nu",1993,[]
326,Harry Wibier,Sex in de Nederlandse strips,1993,[]
327,Valerie Vleesenbeek,"De woorden achter de daden : het vrouwenvraagstuk in tsaristisch Rusland, een tijdschriftanalyse",1993,"[['Russian Empire', '70.0', '58.0']]"
328,Cora van den Berg,"Lokale gezagsdragers in de zuidelijke hooglanden van Ecuador, een case-study in Baños",1994,"[['Ecuador', '-78.816667', '-1.465278'], ['Baños de Agua Santa', '-78.424722', '-1.396389']]"
329,Petra Heuvelmans,De broederschap van het hoogheilig sacrament te 's-Hertogenbosch : een studie naar de invloed van reformatie en contrareformatie op het functioneren van de Bossche sacramentsbroederschap,1994,"[[""'s-Hertogenbosch"", '5.316667', '51.7']]"
330,Jurgen Limonard,Alexander van Goltstein binnenste buiten: het dagboek van Alexander van Goltstein (1801-1808),1994,[]
331,Annemarie Kuijlaars,De motieven achter de energievoorziening in Dordrecht: het politieke spel : groepsbelang en algemeen belang in het gemeentelijk beleid ten aanzien van de energievoorziening in Dordrecht in de periode 1851-1910,1994,"[['Dordrecht', '4.666667', '51.816667']]"
332,Peter Zegers,Sociale woningbouw in Goes 1900-1940,1994,"[['Goes', '3.883333', '51.5']]"
333,J C Bakker,De toeristische propaganda van Nederland in de Verenigde Staten 1946-1956,1994,"[['Netherlands', '5.55', '52.316667'], ['United States', '-100.0', '40.0']]"
334,Ellen Dreessen,Chercher la vie : de geschiedenis van een salesiaanse gemeenschap op Haïti tussen 1936-1993,1994,"[['Haiti', '-72.333333', '18.533333']]"
335,T Nierop,"Maleiers, Dayak en Javaanse koelies : westerse invloeden op de Indonesische bevolking van Zuidoost Borneo (Kalimantan) 1900-1942",1994,"[['Indonesia', '106.828333', '-6.175'], ['Borneo', '114.0', '1.0'], ['Java', '110.004444', '-7.491667']]"
